Criterion,Level,Status,Evidence,Affected Screens,Remediation
2.5.3 Label in Name,A,Partial,Visible button text vs Semantics label drift not audited globally,multiple,Sweep
2.5.4 Motion Actuation,A,Pass,No device-motion-triggered actions,—,—
2.5.7 Dragging Movements,AA,Pass,Avatar tweak panel has buttons in addition to drag,avatar_tweak_panel,—
2.5.8 Target Size (Minimum),AA,Pass,"All band touchTargetMin >= 48dp; meets WCAG 2.5.8 24dp minimum with margin",—,A11Y-011 watch Adult band
3.1.1 Language of Page,A,Pass,Flutter sets locale via MaterialApp; web build has lang=en in index.html,—,—
3.1.2 Language of Parts,AA,N/A,Single-language content today,—,A11Y-016 when i18n ships
3.2.1 On Focus,A,Pass,No context change on focus observed,—,—
3.2.2 On Input,A,Pass,No unexpected context change on input,—,—
3.2.3 Consistent Navigation,AA,Pass,AppBar back / bottom nav consistent across screens,—,—
3.2.4 Consistent Identification,AA,Pass,Same iconography reused consistently (mic / play / settings),—,—
3.2.6 Consistent Help,A,Pass,Help/contact pathway consistent in settings,settings_screen,—
3.3.1 Error Identification,A,Partial,89 TextField vs 11 errorText hits; many validators do not surface errorText,byok_setup_wizard; character_creation; parental_consent code; settings,A11Y-010
3.3.2 Labels or Instructions,A,Pass,welcome_screen name TextField is wrapped in a Semantics textField widget exposing a programmatic name — audit A11Y-004 was a false positive (verified 2026-05-22),welcome_screen,None
3.3.3 Error Suggestion,AA,Partial,Email-format validation gives boolean only; no suggestion text on parental_consent,parental_consent,A11Y-010
3.3.4 Error Prevention (Legal Financial Data),AA,Pass,Stripe checkout handled by Stripe-hosted page; consent has a parent gate,subscription; parental_consent,—
3.3.7 Redundant Entry,A,Pass,New in 2.2; child name persisted via SharedPreferences; not re-asked,—,—
3.3.8 Accessible Authentication (Minimum),AA,Partial,New in 2.2; parental gate uses multiplication challenge; this is a cognitive function test (failure mode in 3.3.8) but explicitly required by COPPA §312.5,parental_consent,Acceptable per safety protocol — COPPA compliance overrides
4.1.1 Parsing,A,N/A,Obsolete in WCAG 2.2,—,—
4.1.2 Name Role Value,A,Partial,"Material widgets pass; bespoke GestureDetector icons often missing role/name; CanvasKit web partial",web; icon-only buttons,A11Y-002; A11Y-003
4.1.3 Status Messages,AA,Partial,avatar_generating_view.dart:233 uses liveRegion correctly; not replicated on story generation / payment / verification code result,story_result; subscription_*; parental_consent,A11Y-015
